name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-25T10:00:00,67.1,67.1,56.8,69.65,0,,,0,0,,7.5,27,1020.6,0,9.9,450,1.6,5,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T11:00:00,69.3,69.3,56.9,64.63,0,,,0,0,,6.9,57,1020.9,0,9.9,568,2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T12:00:00,71.2,71.2,56.7,60.28,0,,,0,0,,4.8,60,1020.6,0,9.9,643,2.3,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T13:00:00,73.1,73.1,55.9,54.92,0,,,0,0,,4.3,0,1020.4,0,9.9,662,2.4,7,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T14:00:00,73.3,73.3,55.9,54.52,0,,,0,0,,5.8,40,1019.7,1.8,9.9,627,2.3,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T15:00:00,74.1,74.1,56,53.16,0,,,0,0,,7.6,84,1019.7,1.8,9.9,532,1.9,5,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T16:00:00,71.4,71.4,56.1,58.42,0,,,0,0,,10.3,61,1019.2,0,9.9,400,1.4,4,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T17:00:00,69.3,69.3,56.1,62.83,0,,,0,0,,8.1,81,1018.9,0,9.9,179,0.6,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T18:00:00,65.5,65.5,56.1,71.67,0,,,0,0,,7.2,70,1019.1,0,9.9,38,0.1,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-25T19:00:00,62.2,62.2,56,80.17,0,,,0,0,,3.7,102,1019.7,0,9.9,9,0,0,,Clear,clear-night,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
